192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001873
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000918
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000716
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000923
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.002003
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000888
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001400
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000815
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000944
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001711
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001169
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000544
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000795
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001237
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/js/ajax_editor.js, HTTP/1.1, 200, 0.002121
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000988
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/js/typeahead.min.js, HTTP/1.1, 200, 0.000967
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000867
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000832
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/images/files_toggle.png, HTTP/1.1, 200, 0.001765
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/default/edit/designer/models/db.py, HTTP/1.1, 200, 0.039731
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.085462
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/images/save_icon.png, HTTP/1.1, 200, 0.000780
192.168.42.213, 2019-01-27 15:52:28, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.105153
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.247006
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.330757
192.168.42.213, 2019-01-27 15:52:28, GET, /designer/appadmin/hooks, HTTP/1.1, 200, 0.528996
192.168.42.213, 2019-01-27 15:53:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.035102
192.168.42.213, 2019-01-27 15:53:33, GET, /designer/appadmin/hooks, HTTP/1.1, 200, 5.576796
192.168.42.213, 2019-01-27 15:53:36, POST, /admin/default/edit/designer/models/db.py, HTTP/1.1, 200, 0.027739
192.168.42.213, 2019-01-27 15:53:41, GET, /admin/default/design/designer, HTTP/1.1, 200, 0.444302
192.168.42.213, 2019-01-27 15:53:51, GET, /admin/default/edit/designer/controllers/default.py, HTTP/1.1, 200, 0.053585
192.168.42.213, 2019-01-27 15:53:51, GET, /admin/default/edit/designer/controllers/default.py, HTTP/1.1, 200, 0.042229
192.168.42.213, 2019-01-27 15:53:52, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.027892
192.168.42.213, 2019-01-27 15:53:52, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.010926
192.168.42.213, 2019-01-27 15:53:52, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.171316
192.168.42.213, 2019-01-27 15:53:52, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.254956
192.168.42.213, 2019-01-27 15:53:58, GET, /designer/appadmin/hooks, HTTP/1.1, 200, 6.741066
192.168.42.213, 2019-01-27 15:54:18, POST, /admin/default/edit/designer/controllers/default.py, HTTP/1.1, 200, 0.025694
192.168.42.213, 2019-01-27 15:54:24, GET, /admin/default/edit/designer/controllers/default.py, HTTP/1.1, 200, 0.053605
192.168.42.213, 2019-01-27 15:54:24, GET, /admin/static/_2.17.2/js/jquery.js, HTTP/1.1, 200, 0.002237
192.168.42.213, 2019-01-27 15:54:24, GET, /admin/static/_2.17.2/css/calendar.css, HTTP/1.1, 200, 0.000863
192.168.42.213, 2019-01-27 15:54:24, GET, /admin/static/_2.17.2/js/calendar.js, HTTP/1.1, 200, 0.003188
192.168.42.213, 2019-01-27 15:54:24, GET, /admin/static/_2.17.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002096
192.168.42.213, 2019-01-27 15:54:24, GET, /admin/static/_2.17.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001007
192.168.42.213, 2019-01-27 15:54:24, GET, /admin/static/_2.17.2/js/web2py.js, HTTP/1.1, 200, 0.000793
192.168.42.213, 2019-01-27 15:54:24, GET, /admin/static/_2.17.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.000833
192.168.42.213, 2019-01-27 15:54:24, GET, /admin/static/_2.17.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003093
192.168.42.213, 2019-01-27 15:54:24, GET, /admin/static/_2.17.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001378
192.168.42.213, 2019-01-27 15:54:24, GET, /admin/static/_2.17.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000806
